han,hex,dec
律,5F8B,24459
後,5F8C,24460
徐,5F90,24464
徒,5F92,24466
得,5F97,24471
徘,5F98,24472
徙,5F99,24473
御,5FA1,24481
徨,5FA8,24488
循,5FAA,24490
徬,5FAC,24492
微,5FAE,24494
徵,5FB5,24501
德,5FB7,24503
徽,5FBD,24509
心,5FC3,24515
必,5FC5,24517
忆,5FC6,24518
忌,5FCC,24524
忍,5FCD,24525
忏,5FCF,24527
忖,5FD6,24534
志,5FD7,24535
忘,5FD8,24536
忙,5FD9,24537
忝,5FDD,24541
忠,5FE0,24544
忤,5FE4,24548
忧,5FE7,24551
忪,5FEA,24554
快,5FEB,24555
忱,5FF1,24561
念,5FF5,24565
忻,5FFB,24571
忽,5FFD,24573
忾,5FFE,24574
忿,5FFF,24575
怀,6000,24576
态,6001,24577
怂,6002,24578
怅,6005,24581
怆,6006,24582
怎,600E,24590
怏,600F,24591
怒,6012,24594
怔,6014,24596
怕,6015,24597
怖,6016,24598
怙,6019,24601
怜,601C,24604
思,601D,24605
怠,6020,24608
怡,6021,24609
急,6025,24613
性,6027,24615
怨,6028,24616
怪,602A,24618
怫,602B,24619
怯,602F,24623
怵,6035,24629
总,603B,24635
怼,603C,24636
恁,6041,24641
恃,6043,24643
恋,604B,24651
恍,604D,24653
恐,6050,24656
恒,6052,24658
恕,6055,24661
恙,6059,24665
